feature,importance
sensor_13,4.890377
sensor_13_lag1,3.8211737
sensor_15,3.2266142
sensor_15_lag1,3.0357883
sensor_13_lag2,3.0283906
sensor_13_lag3,3.020839
sensor_11,2.855292
sensor_15_lag2,2.5346377
sensor_15_lag3,2.443056
sensor_11_lag1,2.028325
sensor_11_lag3,1.942994
sensor_11_lag2,1.8295752
sensor_4,1.6562935
sensor_4_lag1,1.4411612
sensor_6,1.2576061
sensor_4_lag2,1.2080804
sensor_9,1.1870303
sensor_4_lag3,0.9902158
sensor_6_lag1,0.9207244
sensor_9_lag1,0.9094205
sensor_14,0.8269004
sensor_9_lag3,0.6847
sensor_6_lag2,0.6761612
sensor_9_lag2,0.65281576
sensor_14_lag1,0.56328917
sensor_6_lag3,0.5436331
sensor_14_lag2,0.47434634
sensor_14_lag3,0.47117582
sensor_12,0.46731994
sensor_21,0.43733436
sensor_2,0.37561217
sensor_6_roll_std,0.3693378
sensor_2_lag2,0.3609184
sensor_3,0.35835266
sensor_3_lag3,0.3537901
sensor_2_lag1,0.32878006
sensor_17,0.31702548
sensor_20_lag1,0.28116265
sensor_7,0.27753142
sensor_12_lag1,0.26479572
sensor_12_lag2,0.26027533
sensor_3_lag1,0.25674716
sensor_7_lag1,0.25658074
sensor_9_roll_mean,0.25352168
sensor_2_lag3,0.24589795
sensor_17_lag1,0.2424046
sensor_12_lag3,0.24045946
sensor_20,0.23228283
sensor_21_lag2,0.22726993
sensor_15_roll_mean,0.20873284
sensor_21_lag3,0.19514345
sensor_3_lag2,0.19102217
sensor_8,0.18057773
sensor_17_lag2,0.17895104
sensor_8_lag2,0.17606787
sensor_21_lag1,0.1631865
sensor_21_roll_mean,0.15198319
sensor_6_roll_mean,0.14848204
sensor_11_roll_mean,0.14735286
sensor_20_lag2,0.14438449
sensor_7_lag3,0.13875806
sensor_17_lag3,0.13659453
sensor_8_lag1,0.13611469
sensor_7_lag2,0.13367197
sensor_7_roll_mean,0.12996104
sensor_8_lag3,0.12882243
sensor_2_roll_mean,0.1282689
sensor_3_roll_mean,0.11635941
sensor_12_roll_mean,0.106657684
sensor_8_roll_mean,0.1055024
sensor_13_roll_std,0.10487042
sensor_17_roll_mean,0.103347905
sensor_13_roll_mean,0.09941679
sensor_7_roll_std,0.09621284
sensor_4_roll_mean,0.09177752
sensor_11_roll_std,0.09142514
sensor_20_lag3,0.08960512
sensor_20_roll_mean,0.08858999
sensor_14_roll_mean,0.08481931
sensor_2_roll_std,0.07629052
sensor_12_roll_std,0.072887965
sensor_10_roll_std,0.06942221
sensor_8_roll_std,0.062349167
sensor_15_roll_std,0.05766203
sensor_21_roll_std,0.056727134
sensor_8_delta,0.05665153
op_setting_1,0.055005085
sensor_14_delta,0.054878682
sensor_18_roll_mean,0.04999297
op_setting_2,0.048937384
sensor_14_roll_std,0.047697816
sensor_10_roll_mean,0.04244375
sensor_21_delta,0.04137733
sensor_10_lag1,0.039198045
sensor_4_roll_std,0.03602065
sensor_13_delta,0.035004824
sensor_9_delta,0.03419303
sensor_4_delta,0.031483617
sensor_20_delta,0.03147721
sensor_1_roll_std,0.02900872
sensor_17_roll_std,0.028022397
sensor_1_lag3,0.02734827
sensor_3_roll_std,0.026723402
sensor_15_delta,0.02500889
sensor_9_roll_std,0.024386343
sensor_20_roll_std,0.022826642
sensor_5_roll_std,0.022598092
sensor_11_delta,0.022361783
sensor_7_delta,0.021080697
sensor_10,0.020971453
sensor_10_lag3,0.019321475
sensor_12_delta,0.019159783
sensor_3_delta,0.015427295
sensor_1_roll_mean,0.01482552
sensor_2_delta,0.01461726
sensor_5_roll_mean,0.014037189
sensor_1_delta,0.012319289
sensor_1_lag1,0.010100569
sensor_1,0.009270283
sensor_17_delta,0.007196072
op_setting_3,0.0065240725
sensor_6_delta,0.0060815504
sensor_18_roll_std,0.003488438
sensor_10_lag2,0.0032950907
sensor_10_delta,0.00326357
sensor_1_lag2,0.0022124157
sensor_19_roll_mean,0.0016225879
sensor_5_delta,0.0011937409
sensor_5_lag2,1.5794436e-05
sensor_5,0.0
sensor_19,0.0
sensor_18,0.0
sensor_5_lag1,0.0
sensor_18_lag1,0.0
sensor_19_roll_std,0.0
sensor_19_lag1,0.0
sensor_18_lag2,0.0
sensor_19_lag2,0.0
sensor_5_lag3,0.0
sensor_19_lag3,0.0
sensor_18_lag3,0.0
sensor_19_delta,0.0
sensor_18_delta,0.0
sensor_1_anomaly,0.0
sensor_2_anomaly,0.0
sensor_3_anomaly,0.0
sensor_4_anomaly,0.0
sensor_5_anomaly,0.0
sensor_6_anomaly,0.0
sensor_7_anomaly,0.0
sensor_8_anomaly,0.0
sensor_9_anomaly,0.0
sensor_10_anomaly,0.0
sensor_11_anomaly,0.0
sensor_12_anomaly,0.0
sensor_13_anomaly,0.0
sensor_14_anomaly,0.0
sensor_15_anomaly,0.0
sensor_17_anomaly,0.0
sensor_18_anomaly,0.0
sensor_19_anomaly,0.0
sensor_20_anomaly,0.0
sensor_21_anomaly,0.0
